LocationType,Location,DataType,TimeFrame,DataFormat,Data,Indicator,HousingStatus,TimeStart,TimeEnd,StatNow,StatPrevious,StatDifference
State,Hawaii,Percent,2016-2020,Percent,0.36393,Percent of families with children,,2016,2020,,,
State,Hawaii,Percent,2015-2019,Percent,0.36723,Percent of families with children,,2015,2019,,,
State,Hawaii,Percent,2014-2018,Percent,0.37437,Percent of families with children,,2014,2018,,,
State,Hawaii,Percent,2013-2017,Percent,0.37712,Percent of families with children,,2013,2017,,,
State,Hawaii,Percent,2012-2016,Percent,0.3837,Percent of families with children,,2012,2016,,,
State,Hawaii,Percent,2011-2015,Percent,0.3932,Percent of families with children,,2011,2015,,,
State,Hawaii,Percent,2010-2014,Percent,0.39605,Percent of families with children,,2010,2014,,,
State,Hawaii,Percent,2009-2013,Percent,0.39887,Percent of families with children,,2009,2013,,,
State,Hawaii,Percent,2008-2012,Percent,0.40237,Percent of families with children,,2008,2012,,,
State,Hawaii,Percent,2007-2011,Percent,0.4068,Percent of families with children,,2007,2011,,,
State,Hawaii,Percent,2006-2010,Percent,0.40806,Percent of families with children,,2006,2010,,,
State,Hawaii,Percent,2017-2021,Percent,0.36441,Percent of families with children,,2017,2021,,0.36441,-0.008945967454
State,Hawaii,Percent,2018-2022,Percent,0.36115,Percent of families with children,,2018,2022,0.36115,,
County,C&C Honolulu,Percent,2016-2020,Percent,0.36982,Percent of families with children,,2016,2020,,,
County,C&C Honolulu,Percent,2015-2019,Percent,0.37741,Percent of families with children,,2015,2019,,,
County,C&C Honolulu,Percent,2014-2018,Percent,0.38273,Percent of families with children,,2014,2018,,,
County,C&C Honolulu,Percent,2013-2017,Percent,0.38459,Percent of families with children,,2013,2017,,,
County,C&C Honolulu,Percent,2012-2016,Percent,0.39091,Percent of families with children,,2012,2016,,,
County,C&C Honolulu,Percent,2011-2015,Percent,0.3981,Percent of families with children,,2011,2015,,,
County,C&C Honolulu,Percent,2010-2014,Percent,0.40092,Percent of families with children,,2010,2014,,,
